Open,Close,High,Low,Number of Trades,Volume,Volume Weighted Average,Increase
148.75,148.809,148.83,148.75,127,6809,148.796123,0
148.82,148.83,148.83,148.79,78,3439,148.807494,1
148.84,148.81,148.84,148.8,99,4086,148.826687,0
148.79,148.815,148.82,148.77,90,6986,148.786411,1
148.81,148.77,148.81,148.77,57,1461,148.79241,0
148.7816,148.836,148.84,148.78,107,4877,148.811519,1
148.83,148.815,148.84,148.815,61,2835,148.827588,0
148.8,148.8273,148.8273,148.8,73,3454,148.813748,1
148.82,148.82,148.82,148.8,76,4806,148.808816,1
148.84,148.8,148.84,148.8,76,4130,148.820972,1
148.8,148.78,148.8,148.77,161,9401,148.787959,0
148.78,148.795,148.7973,148.775,41,2202,148.782957,0
148.79,148.85,148.85,148.79,142,7129,148.815122,0
148.831,148.86,148.87,148.831,84,3421,148.85671,0
148.865,148.87,148.88,148.865,53,2000,148.87213,0
148.88,148.8913,148.92,148.88,111,4780,148.904497,1
148.89,148.885,148.89,148.88,60,2753,148.881693,0
148.89,148.91,148.91,148.89,64,2985,148.903285,1
148.91,148.87,148.91,148.87,78,3002,148.886097,0
148.88,148.89,148.905,148.88,100,3717,148.889734,1
148.89,148.888,148.89,148.88,24,1169,148.887083,0
148.88,148.93,148.93,148.88,115,5347,148.901382,0
148.93,148.93,148.93,148.8942,83,2637,148.915932,1
148.93,148.925,148.94,148.92,45,1662,148.931219,1
148.92,148.91,148.92,148.9,94,3518,148.911941,1
148.9,148.885,148.9,148.88,45,1267,148.885801,0
148.89,148.91,148.93,148.89,84,3657,148.908956,0
148.92,148.9178,148.94,148.9178,81,3218,148.926061,1
148.907,148.8834,148.907,148.88,58,2239,148.887067,1
148.885,148.84,148.9,148.84,154,9310,148.86507,0
148.84,148.875,148.9,148.8301,78,8788,148.850201,0
148.87,148.88,148.9,148.87,70,3715,148.87066,0
148.88,148.92,148.92,148.88,56,2101,148.898512,0
148.913,148.94,148.98,148.905,167,6420,148.942494,0
148.94,148.95,148.9527,148.94,66,2645,148.946103,0
148.9638,149.006,149.006,148.9638,60,3054,148.974938,1
149.005,149,149.005,149,48,1214,149.000026,0
148.99,149.01,149.01,148.99,66,3751,148.999573,0
149.006,149.02,149.029,149.006,72,2558,149.014951,0
149.02,149.02,149.0499,149.02,68,3968,149.035476,0
149.03,149.02,149.03,149.0119,54,2928,149.026133,0
149.02,149.0256,149.04,149.02,86,4917,149.026459,1
149.0244,149.025,149.025,149.0244,29,502,149.02494,1
149.0296,149,149.0296,148.97,135,6768,148.993432,0
149.0022,149.0061,149.025,149.0022,68,3544,149.013833,1
149,148.972,149,148.972,51,1762,148.988434,1
148.97,148.96,148.97,148.95,49,1612,148.963413,1
148.95,148.935,148.95,148.92,86,3254,148.938434,1
148.93,148.93,148.94,148.925,99,5936,148.932491,0
148.94,148.93,148.94,148.91,131,5694,148.928559,1
148.93,148.9262,148.93,148.91,42,1937,148.925685,0
148.92,148.95,148.96,148.92,121,6245,148.941763,0
148.94,148.96,148.96,148.93,164,6409,148.942614,0
148.97,148.9859,148.99,148.97,52,4426,148.982617,0
148.9839,148.995,149,148.97,58,2671,148.993718,1
149,148.99,149,148.99,63,2168,148.996709,1
148.99,148.9784,149.0014,148.9784,83,2768,148.986904,1
148.975,148.94,148.975,148.93,87,3418,148.947596,1
148.9272,148.93,148.93,148.92,118,4804,148.922416,1
148.92,148.915,148.925,148.915,40,2162,148.919466,1
148.915,148.91,148.925,148.9,137,7564,148.910099,0
148.905,148.9281,148.93,148.905,98,4410,148.922577,1
148.925,148.92,148.925,148.91,73,2269,148.921658,0
148.935,148.935,148.96,148.9325,138,9369,148.942125,1
148.9378,148.92,148.9378,148.919,74,3058,148.925829,1
